DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2016,6840,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2017,7130,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2018,7410,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2019,7800,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2020,7620,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2021,8270,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2022,8660,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2023,8850,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,1995,17530,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,1996,17470,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,1997,17680,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,1998,18530,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,1999,19240,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2000,20180,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2001,20750,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2002,21270,
