"Country","Country code","Survey year","Prevalence (%)","Substance","Recall period","Age","Sample size","Males (%)","Females (%)"
"Croatia","HR",2019,1.2,"Ecstasy","Last year","All adults (15-64)",4994,1.9,0.5
"Croatia","HR",2019,2.6,"Ecstasy","Last year","Young adults (15-34)",1967,4.2,0.8
"Croatia","HR",2019,0.4,"Ecstasy","Last month","All adults (15-64)",4994,0.6,0.2
"Croatia","HR",2019,0.7,"Ecstasy","Last month","Young adults (15-34)",1967,1.2,0.2
"Croatia","HR",2019,1.4,"LSD","Lifetime","All adults (15-64)",4994,2,0.9
"Croatia","HR",2019,1.9,"LSD","Lifetime","Young adults (15-34)",1967,2.4,1.5
"Croatia","HR",2019,0.3,"LSD","Last year","All adults (15-64)",4994,0.5,0.2
"Croatia","HR",2019,0.6,"LSD","Last year","Young adults (15-34)",1967,0.7,0.5
"Croatia","HR",2019,0.1,"LSD","Last month","All adults (15-64)",4994,0.3,0
"Croatia","HR",2019,0,"LSD","Last month","Young adults (15-34)",1967,0.1,0
"Croatia","HR",2019,90.9,"Alcohol","Lifetime","All adults (15-64)",4994,94.1,87.6
"Croatia","HR",2019,92.8,"Alcohol","Lifetime","Young adults (15-34)",1967,93.4,92.1
"Croatia","HR",2019,83.3,"Alcohol","Last year","All adults (15-64)",4994,87.5,79
"Croatia","HR",2019,89,"Alcohol","Last year","Young adults (15-34)",1967,90.3,87.6
"Croatia","HR",2019,62.9,"Alcohol","Last month","All adults (15-64)",4994,71.6,54.2
"Croatia","HR",2019,69.4,"Alcohol","Last month","Young adults (15-34)",1967,74.1,64.5
"Croatia","HR",2019,60.6,"Tobacco","Lifetime","All adults (15-64)",4994,65.2,56.1
"Croatia","HR",2019,62,"Tobacco","Lifetime","Young adults (15-34)",1967,65.3,58.6
"Croatia","HR",2019,44,"Tobacco","Last year","All adults (15-64)",4994,46.8,41.2
"Croatia","HR",2019,50.6,"Tobacco","Last year","Young adults (15-34)",1967,54.1,47
"Croatia","HR",2019,41.5,"Tobacco","Last month","All adults (15-64)",4994,44,39
"Croatia","HR",2019,46.5,"Tobacco","Last month","Young adults (15-34)",1967,49.5,43.4
"Cyprus","CY",2022,18,"Cannabis","Lifetime","All adults (15-64)",3510,24.4,11.8
"Cyprus","CY",2022,24.7,"Cannabis","Lifetime","Young adults (15-34)",1540,31,18.2
"Cyprus","CY",2022,6,"Cannabis","Last year","All adults (15-64)",3510,8.1,4
"Cyprus","CY",2022,10.6,"Cannabis","Last year","Young adults (15-34)",1540,13.6,7.4
"Cyprus","CY",2022,3.1,"Cannabis","Last month","All adults (15-64)",3510,4.5,1.7
"Cyprus","CY",2022,5.8,"Cannabis","Last month","Young adults (15-34)",1540,8.3,3.2
"Cyprus","CY",2022,2.2,"Cocaine","Lifetime","All adults (15-64)",3510,3.5,1
"Cyprus","CY",2022,3.4,"Cocaine","Lifetime","Young adults (15-34)",1540,4.7,2.1
"Cyprus","CY",2022,0.7,"Cocaine","Last year","All adults (15-64)",3510,1,0.3
"Cyprus","CY",2022,1.1,"Cocaine","Last year","Young adults (15-34)",1540,1.7,0.5
