"Country","City","Metabolite","Current estimate (mg/1000p/day)","Previous estimate (mg/1000p/day)","Year current estimate","Year previous estimate","Percentage change","Change evaluation","Site ID","Location","latitude","longitude","Population served by facility","Institution","website"
"NL","Leeuwarden","methamphetamine",25.69,,2023,,,"no previous data","NL003","Leeuwarden","53.20082","5.8022",104355,"KWR Water Research Institute","N/A"
"CY","Limassol","methamphetamine",18.96,38.55,2023,2022,-50.8,"decrease","CY003","Sewerage Board of Limassol-Amathus (SBLA)","34.69","33.02",231278,"Magda Psichoudaki - Nireas IWRC","N/A"
"PT","Lisbon","methamphetamine",6.1,9.78,2023,2022,-37.6,"decrease","PT002","Alcântara","38.7044907","-9.1754999",426964,"INMLCF","N/A"
"SI","Ljubljana","methamphetamine",9.68,11.42,2023,2022,-15.2,"decrease","SI004","Central wastewater treatment plant Ljubljana","46.056947","14.505751",270305,"Jožef Stefan Institute, Environmental department, Laboratory for organic analysis","N/A"
"ES","Lleida","methamphetamine",2.61,0,2023,2022,Inf,"increase","ES004","EDAR Lleida","41.617592","0.620015",146669,"IDAEA-CSIC","N/A"
"DE","Magdeburg","methamphetamine",163.31,152.23,2023,2022,7.3,"stable","DE023","Magdeburg","52.120533","11.627624",281150,"Clinical Pharmacology TU Dresden","N/A"
"LU","Mamer","methamphetamine",1.38,,2023,,,"no previous data","LU002","Mamer","49.6275","6.0145",11268,"Laboratoire national de santé","N/A"
"SI","Maribor","methamphetamine",0.4,0.67,2023,2022,-40.3,"decrease","SI005","Maribor","46.55734","15.64591",129000,"Jožef Stefan Institute, Environmental department, Laboratory for organic analysis","N/A"
"LU","Mersch","methamphetamine",0.5,,2023,,,"no previous data","LU003","Beringen","49.74811","6.10546",32157,"Laboratoire national de santé","N/A"
"IT","Milan","methamphetamine",16.18,9.7,2023,2022,66.8,"increase","IT002","Nosedo","45.4337997","9.2213602",1195875,"Mario Negri Institute","N/A"
"DE","Munich G","methamphetamine",14.36,14.1,2023,2022,1.8,"stable","DE026","Gut Grosslappen","48.14","11.58",1156000,"Clinical Pharmacology TU Dresden","N/A"
"CY","Nicosia (2)","methamphetamine",9.17,20.09,2023,2022,-54.4,"decrease","CY005","Sewage treatment plant of Pano Deftera (Anthoupoli)-Sewerage Board of Nicosia; Sewage treatment plant of Vathia Gonia-Sewerage Board of Nicosia","35.17","33.4",104562,"N/A","N/A"
"SI","Novo mesto","methamphetamine",1.72,0.3,2023,2022,473.3,"increase","SI006","Wastewater treatment plant Novo mesto","45.804211","15.16969",25414,"Jožef Stefan Institute, Environmental department, Laboratory for organic analysis","N/A"
